INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (1, 1);
INSERT INTO TRAVELER VALUES (7, 0, 1984, '820 avenue de saint roche, Montpellier', 'Bastien', 'Paget', 'male', 'france', 'mensuel', 53.5);
INSERT INTO TRAVELER VALUES (8, 0, 2007, '30 rue de la comedie, Montpellier', 'Justine', 'Hardy', 'female', 'france', 'ZAP5', 16.4);
INSERT INTO TRAVELER VALUES (9, 0, 1993, '298 rue maurice et katia krafft, Montpellier', 'Joseph', 'Saba', 'male', 'liban', 'annuel_jeune', 196);
INSERT INTO TRAVELER VALUES (10, 0, 1995, '20 montée Occitanie, Montpellier', 'Jacques', 'Holland', 'male', 'belgique', 'annuel_jeune', 196);
INSERT INTO TRAVELER VALUES (11, 0, 1994, '67 allée du peyrou, Montpellier', 'Eva', 'Montaigne', 'female', 'france', 'annuel_jeune', 196);
INSERT INTO TRAVELER VALUES (12, 0, 1995, '93 route du sud, Montpellier', 'Pauline', 'Faucher', 'female', 'france', 'annuel_jeune', 196);
INSERT INTO TRAVELER VALUES (13, 0, 1996, '128 avenue de toulouse, Montpellier', 'Michel', 'Lucas', 'male', 'france', 'mensuel_jeune', 28);
INSERT INTO TRAVELER VALUES (14, 0, 1994, '62 passage saint eloi, Montpellier', 'Gustave', 'Tremble', 'male', 'france', 'annuel_jeune', 196);
INSERT INTO TRAVELER VALUES (15, 0, 1995, '87 rue de la riviere, Montpellier', 'Lilliane', 'Chlela', 'female', 'allemagne', 'annuel_jeune', 196);
INSERT INTO TRAVELER VALUES (16, 0, 1993, '12 allée de verdun, Montpellier', 'Chris', 'James', 'male', 'RU', 'annuel_jeune', 196);

INSERT INTO TRAVELER VALUES (17, 0, 1985, '31 rue de paris, Montpellier', 'Francois', 'Sartre', 'male', 'france', 'annuel', 481.5);
INSERT INTO TRAVELER VALUES (18, 0, 1992, '01 rue de la sciences, Montpellier', 'Ross', 'Sourd', 'male', 'france', 'annuel', 481.5);
INSERT INTO TRAVELER VALUES (19, 0, 1995, '26 montée du Corum, Montpellier', 'Christine', 'Ziadeh', 'female', 'france', 'annuel', 481.5;
INSERT INTO TRAVELER VALUES (20, 0, 1995, '47 allée des magazins, Montpellier', 'Claudine', 'Holland', 'female', 'france', 'annuel', 481.5);
INSERT INTO TRAVELER VALUES (21, 0, 1995, '20 montée Occitanie, Montpellier', 'Marcel', 'Poirier', 'male', 'france', 'annuel', 481.5);


INSERT INTO TRAVELER VALUES (22, 0, 1971, '61 allée du peyrou, Montpellier', 'Amendine', 'Montaigne', 'female', 'france', 'mensuel', 53.5);
INSERT INTO TRAVELER VALUES (23, 0, 1984, '19 rue du lez, Montpellier', 'Lea', 'Renaud', 'female', 'france', 'annuel', 481.5);
INSERT INTO TRAVELER VALUES (24, 0, 1981, '24 rue montpellier, Montpellier', 'Marie', 'Le Pen', 'female', 'france', 'annuel', 481.5);
INSERT INTO TRAVELER VALUES (25, 0, 1991, '91 avenue  degaulle, Montpellier', 'Lina', 'Sabatier', 'female', 'france', 'annuel', 481.5);
INSERT INTO TRAVELER VALUES (26, 0, 1964, '931 rue de la gare, Montpellier', 'Nicolas', 'Tesla', 'male', 'france', 'annuel', 481.5);

INSERT INTO TRAVELER VALUES (27, 0, 1998, '94 rue B, Montpellier', 'Lucie', 'Victor', 'female', 'france', 'annuel_jeune', 196);
INSERT INTO TRAVELER VALUES (28, 0, 1994, '31 rue C, Montpellier', 'Jean', 'Jaures', 'male', 'france', 'annuel_jeune', 196);
INSERT INTO TRAVELER VALUES (29, 0, 1993, '01 allee du machin, Castelneau', 'Simon', 'LePetit', 'male', 'france', 'annuel_jeune', 196);
INSERT INTO TRAVELER VALUES (30, 0, 1994, '123 allee du nimporte, Castelneau', 'Catherine', 'Montaigne', 'female', 'france', 'annuel_jeune', 196);
INSERT INTO TRAVELER VALUES (31, 0, 1997, '439 rue de la porte, Montpellier', 'Stephan','Leclerc', 'male', 'france', 'annuel_jeune', 196);

INSERT INTO TRAVELER VALUES (32, 0, 1994, '7 rue verdun, Montpellier', 'Jeanette', 'Clement', 'female', 'france', 'annuel', 481.5);
INSERT INTO TRAVELER VALUES (33, 0, 1994, '81 allée de la plage, Montpellier', 'Homer', 'Jean', 'male', 'france', 'annuel', 481.5);
INSERT INTO TRAVELER VALUES (34, 0, 1994, '91 allée des 4 seigneurs, Montpellier', 'Moise', 'Einestein', 'male', 'PaysBas', 'annuel', 481.5);
INSERT INTO TRAVELER VALUES (35, 0, 1994, '132 rue vert bois, Montpellier', 'Raoul', 'Lane', 'male', 'france', 'annuel', 481.5);


INSERT INTO TRAVELER VALUES (36, 0, 1984, '71 rue verdun, Montpellier', 'Laudi', 'Frayfer', 'female', 'france', 'mensuel_DE', 3.4);
INSERT INTO TRAVELER VALUES (37, 0, 1989, '8 allée de la plage, Montpellier', 'Caroline', 'Saba', 'female', 'france', 'mensuel_DE', 3.4);
INSERT INTO TRAVELER VALUES (38, 0, 1981, '1 allée des 4 seigneurs, Montpellier', 'Maurice', 'Ghanem', 'male', 'PaysBas', 'mensuel_DE', 3.4);
INSERT INTO TRAVELER VALUES (39, 0, 1978, '32 rue vert bois, Montpellier', 'George', 'Memari', 'male', 'france', 'mensuel_DE', 3.4);

INSERT INTO TRAVELER VALUES (40, 0, 1950, '71 rue foche, Montpellier', 'Marie-Reine', 'Khoury', 'female', 'france', 'annuel_senior', 321);
INSERT INTO TRAVELER VALUES (41, 0, 1952, '71 rue pic saint loup, Montpellier', 'Jamila', 'Saeed', 'female', 'liban', 'annuel_senior', 321);
